name,lat,lon,image_path
Cà Phê Maxx,21.0377829,105.7721686,
Phòng Tập Monkey Boxing,21.0186117,105.8565768,
Nhà Hàng Moto-san,21.0254125,105.8577493,
Cửa Hàng Ăn Nhanh M' Tacos,21.0724216,105.8144173,
Cửa Hàng Mỹ Phẩm Michelia Beauty,21.0200885,105.8437061,
Siêu Thị Minh Đức Green,20.9706077,105.8296484,
Cửa Hàng Mỹ Phẩm Nail Kitchen,21.0329321,105.8463993,
Khách Sạn Moon View,21.042821,105.8428755,
Khách Sạn New Sky Airport,21.2148821,105.7813644,
Khách Sạn Morning Star,21.0317073,105.8507545,
Khách Sạn Và Spa Matilda Boutique,21.0345574,105.8535202,
Nhà Khách May De Ville Backpacker,21.0342697,105.8520063,
Khách Sạn Little Hanoi Diamond,21.033677,105.8476149,
Khách Sạn Luxury,21.0300134,105.8481407,
Khách Sạn Mimi,21.020348,105.8007275,
Khách Sạn Maison D'Hanoi,21.0311045,105.8494873,
VIET VILLAGE HOTEL,21.204441,105.8302191,
Cà Phê La Ka,21.0160294,105.8211463,
Quán Bar Ler Mer Lounge,21.0302993,105.8563024,
Nhà Hàng King BBQ,21.0362704,105.7613852,
Nhà Hàng Kường Nga,21.0291735,105.836737,
Cà Phê Lack Tack,21.0005082,105.7841509,
Làng Bia Quán Mộc,21.0397465,105.8651749,
Nhà Hàng Kalí,21.0538498,105.8339407,
Highlands Coffee,21.0335695,105.7701189,
SNOW BEACH CAFE,21.0700866,105.8229309,
The Little Plan café - Kế Hoạch Nhỏ café,21.0299293,105.8477946,
Cà Phê Cosa Nostra,21.0255087,105.8579872,
Trung Tâm Đào Tạo Quốc Tế CIE-PTIT,20.9807057,105.7874957,
Nhà Hàng Củi,21.0191661,105.8259313,
Studio Đào Anh Khánh,21.0618285,105.8665701,
Công An Phường Quảng An,21.0656439,105.8247815,
Hóa Chất TMC Việt Nam,21.0335339,105.9009592,
Cửa Hàng Làm Tóc Lee,20.96419,105.826455,
Hico Trung Tâm Mua Sắm Online Uy Tín,21.0171575,105.8047926,
Quán Rượu La Martiniquaise,21.0596852,105.8674798,
Laptop Thảo Linh - Chuyên Laptop Xách Tay Mỹ,21.0065345,105.8273951,
Hazu Shop,21.0348579,105.7728934,
Công Ty Cổ Phần Quốc Tế Homefarm,20.998486,105.8208389,
Du Lịch Hanoi Street Food Tour,21.0339986,105.8521332,
FPT Shop,21.0106611,105.837706,
Cửa Hàng Thẩm Mỹ Dr Pluscell,20.999642,105.8703136,
nhóm 6,21.0837529,105.7768861,
nội thất Thảo Nguyên,21.0817152,105.7845694,
trà sơn,21.0818606,105.7842655,
Nhà Khách Happy Moon,21.0382343,105.8470258,
Khách Sạn La Dolce Vita,21.0338037,105.8489454,
Nhà Nghỉ Kirsty Place,21.0583858,105.8361575,
Khách Sạn Nam Hải,21.0312401,105.8472175,
Khách Sạn Indochina Queen II,21.0346204,105.8481915,
Khách Sạn Hà Nội 123,21.0265829,105.8424048,
Khách Sạn Hanoi Traveller,21.0318635,105.8483885,
Khách Sạn Hanoi Spark,21.0323652,105.8547395,
Khách Sạn Hanoi Old Quarter Boutique,21.0368593,105.8524202,
Khách Sạn Hanoi Old Town,21.036835,105.8497883,
Khách Sạn Hanoi Orchid,21.0327409,105.8539635,
Khách Sạn Hanoi Rocks,21.0359034,105.8499502,
Khách Sạn Golden Snake,21.0292494,105.8481334,
Khách Sạn Hanoi Backpackers,21.0293871,105.8480711,
Khách Sạn Hanoi Holiday Silver,21.0295372,105.8488609,
Nhà Khách Green Hanoi Backpackers,21.0294153,105.8489147,
Khách Sạn Green Park,21.0171605,105.848638,
Khách Sạn Golden Lotus,21.0308292,105.8493639,
Khách Sạn Hanoi Cozy 2,21.0327548,105.8537342,
Khách Sạn Hanoi Gecko 2,21.0334005,105.85244,
Khách Sạn Hà Nội Emerald,21.0339948,105.8535544,
Khách Sạn Hanoi Elegance,21.0314996,105.854844,
Khách Sạn Hanoi Eclipse,21.0328812,105.8495832,
Khách Sạn Hanoi Charm,21.032895,105.8501494,
Khách Sạn Green Street,21.0356102,105.8533151,
Khách Sạn Hanoi Focus,21.0328135,105.8500162,
Khách Sạn Backpackers Downtown,21.036097,105.8532381,
Nhà Khách Hanoi Culture,21.034931,105.8474364,
Khách Sạn Green Diamond,21.0340919,105.8515126,
Khách Sạn Golden Sunrise,21.0314747,105.850246,
Khách Sạn Golden LakeView,21.0315942,105.8507125,
Nhà Khách Madam Moon 2,21.0315703,105.8506713,
Khách Sạn Golden Time 2,21.0307922,105.8547077,
Khách Sạn Hanoi Heart,21.0327685,105.8504022,
Khách Sạn Hanoi Golden Moon,21.0327085,105.8545846,
Nhà Khách Hanoi Brother Inn,21.0336722,105.8474267,
Khách Sạn Golden Wings,21.0340122,105.8532958,
Khách Sạn Hanoi Moment,21.0346758,105.8497899,
Khách Sạn Golden Sun Palace,21.0326664,105.8496242,
Nhà Khách Hanoi Lucky,21.0352497,105.847496,
Khách Sạn Hanoi Bella Rosa,21.0321562,105.8533235,
Khách Sạn Hanoi A1,21.0320927,105.8536784,
Khác Sạn Cocoon Inn,21.0355063,105.8503886,
Chợ Đêm,21.0332192,105.8523763,
Cháo Lòng Phố Cổ,21.0360382,105.8520965,
Cà Phê Gia Đình,21.049061,105.8831298,
Công Ty TNHH IZISolution,21.0297845,105.7850495,
Bưu Điện Phụng Châu,20.9488979,105.7070441,
Bưu Điện Lò Đúc,21.0132818,105.8577703,
Bưu Cục Vân Hồ,21.0103393,105.8464544,
Bưu Cục Giải Phóng,20.9832502,105.8414593,
Bưu Điện Khương Đình,20.9976955,105.8134581,
Nhà Hàng Bò Đội Nón,21.0367552,105.7941995,
Nhà Hàng Bia Hơi Hải Xồm,20.9707625,105.841471,
BIDV,21.029287,105.8570931,
Nhà Hàng Ầu Ơ Bếp Việt,21.0213654,105.8566874,
Trạm xăng dầu Sông Hồng,21.0014988,105.7989816,
Cà Phê Arena,20.9973687,105.8367015,
Cát Bà Express Tours & Bus,21.0333109,105.8545699,
Sâm Ngọc Linh Á Châu,21.0185585,105.7947583,
Khách Sạn Blue Star,21.0336734,105.8474742,
Khách Sạn Boss,21.0314436,105.8552453,
Khách Sạn Box,21.03609,105.8525434,
Khách Sạn Bamboo,21.0331185,105.8537687,
Khách Sạn Bạch Tùng Điệp,21.0329471,105.847996,
Khách Sạn Asian Ruby,21.0346357,105.852058,
Khách Sạn B&B,21.0322584,105.8549018,
Khách Sạn Âu Cơ Art Classic,21.0295393,105.8481716,
Khách Sạn Asia Palace,21.0324639,105.8544065,
Khách Sạn Art Boutique,21.0323445,105.8469581,
Khách Sạn Asia Backpacker,21.0339514,105.8516392,
Khách Sạn A25,21.0331192,105.8477167,
Nhà hàng cô tô,21.0184654,105.7932361,
Tấm cuisine & Traditional house,21.0636852,105.8655285,
Nhà Hàng CEMBEER,21.0411155,105.7752832,
Bánh Tráng Phú Cường Cơ Sở 3,20.9794509,105.7856786,
rạp chiếu phim CGV,21.0066054,105.7953667,
Nhận Chở Hàng 0983 420420,20.9820138,105.8353257,
Nội thất smile house,21.0819895,105.783933,
VinFast,21.0549624,105.8894633,
Trung Barber Shop,21.0058366,105.8458321,
Cửa hàng bán và giới thiệu sản phẩm Vinataba,21.0216754,105.8555078,
Ngọc Thịnh,21.0129224,105.8321308,
Ô mai Hồng Lam Cầu Giấy,21.0321808,105.7990705,
McDonald's,21.0063873,105.7952432,
Cà Phê Kafa,21.0378611,105.8010007,
Ramen Mikado,21.0293053,105.8084678,
bún đậu,21.0724541,105.7728491,
V9-Hồng Béo(Bún),21.0626014,105.7803246,
Vietcombank,21.0222459,105.8057342,
Gogi House,21.0101288,105.836301,
